earlyG1.R1.controls_pr1	earlyG1.R1.controls_pr2	earlyG1.R1.treated_pr1	earlyG1.R1.treated_pr2	earlyG1.R2.controls_pr1	earlyG1.R2.controls_pr2	earlyG1.R2.treated_pr1	earlyG1.R2.treated_pr2	lateG1.R1.controls_pr1	lateG1.R1.controls_pr2	lateG1.R1.treated_pr1	lateG1.R1.treated_pr2	lateG1.R2.controls_pr1	lateG1.R2.controls_pr2	lateG1.R2.treated_pr1	lateG1.R2.treated_pr2	SG2M.R1.controls_pr1	SG2M.R1.controls_pr2	SG2M.R1.treated_pr1	SG2M.R1.treated_pr2	SG2M.R2.controls_pr1	SG2M.R2.controls_pr2	SG2M.R2.treated_pr1	SG2M.R2.treated_pr2
68	80	94	90	72	84	104	80	84	100	82	70	84	78	90	102	52	54	68	56	54	32	36	50
10	0	9	3	6	0	2	2	5	8	11	6	6	4	4	12	7	1	10	6	2	10	0	2
6	5	3	7	0	8	4	4	4	4	16	5	2	4	8	4	2	5	6	2	2	6	0	2
40	34	42	19	19	18	24	21	27	35	41	23	24	22	18	16	16	13	24	26	18	17	15	16
16	22	20	12	8	6	16	28	18	12	14	32	8	14	4	16	16	16	22	16	6	12	2	4
5	4	4	7	8	0	4	9	4	7	6	5	4	5	0	4	5	4	14	4	7	0	0	6
11	4	4	2	4	2	6	0	3	2	2	4	8	6	6	10	0	6	0	15	2	2	2	8
2235	2400	2171	2243	2120	2222	2189	2196	2213	2138	2181	2366	1950	1980	2318	2253	2345	2270	2258	2306	2134	2135	2279	2164
269	302	364	412	196	178	171	192	252	280	271	303	154	174	158	198	265	237	406	384	118	128	122	135
8	6	6	9	2	4	2	5	9	6	4	8	4	6	1	6	2	2	6	2	4	4	0	2
8	1	3	0	4	6	7	2	5	8	1	6	2	0	1	7	7	1	2	2	1	8	3	3
10	15	12	18	2	4	6	6	6	6	10	6	12	5	22	22	6	7	16	12	18	6	10	9
21	29	20	21	14	20	22	22	27	29	25	20	13	23	16	24	21	29	22	20	30	23	21	22
4	4	3	10	4	0	1	4	5	5	12	11	4	4	5	5	6	3	2	2	6	6	2	6
72	56	73	64	27	30	48	44	85	93	73	67	42	42	32	40	47	42	86	86	27	31	38	39
4	7	6	2	3	2	2	7	4	7	4	2	2	4	1	0	4	3	2	11	1	0	2	3
3	4	0	7	2	0	1	4	0	0	4	4	4	2	4	0	6	7	3	1	2	0	0	4
3	4	0	1	0	0	2	2	0	2	1	3	2	3	0	4	2	4	1	3	0	0	4	8
3	8	7	7	1	3	0	1	6	8	1	4	2	0	3	6	8	0	4	4	2	3	4	0
